ingredient,frequency
salt,390494
sugar,275188
water,268179
sel,181415
eau,146705
sucre,145414
citric acid,107127
dextrose,97484
wheat flour,70707
niacin,69293
milk,63561
riboflavin,61736
soy lecithin,59037
natural flavor,56947
spices,52699
folic acid,51980
corn syrup,51917
zucker,49980
sea salt,49574
maltodextrin,48106
enzymes,43701
xanthan gum,41081
soybean oil,39355
natural flavors,39114
reduced iron,39033
wasser,38741
lait,37916
cocoa butter,36508
undefined,36262
palm oil,34245
garlic,33665
speisesalz,33342
thiamine mononitrate,32916
yeast,32465
garlic powder,30787
ascorbic acid,30522
preservative,30521
huile de tournesol,30229
corn starch,30219
farine de blé,29740
vegetable oil,29739
cream,29269
onion powder,29046
sirop de glucose,28359
sal,27923
whey,27860
sunflower oil,27685
vinegar,27589
guar gum,27338
paprika,27094
huile de colza,26309
yeast extract,26280
iron,26250
beurre de cacao,25778
high fructose corn syrup,25520
canola oil,25289
color,25207
soja,24651
aroma,22773
baking soda,22563
modified corn starch,22481
épices,22134
thiamin mononitrate,22041
potassium sorbate,21728
sodium bicarbonate,21631
onion,21576
butter,21505
caramel color,21494
lactose,21374
emulsifier,21220
ail,21115
lactic acid,20962
zout,19907
arômes,19861
pâte de cacao,19770
azúcar,19752
arôme,19654
salz,19563
carrageenan,19208
cane sugar,19206
sodium citrate,18922
arôme naturel,18577
cheese cultures,18567
gluten,18533
levure,18422
sucralose,17676
gewürze,17660
wheat,17523
calcium carbonate,17487
rice flour,17477
vitamin c,17472
honey,17409
agua,17362
modified food starch,17274
cheese culture,17220
malted barley flour,17122
arômes naturels,16954
tomato paste,16436
glucose syrup,16365
brown sugar,16251
spice,15998
rapeseed oil,15658
sodium phosphate,15479
natural and artificial flavors,15440
palm,15324
artificial flavor,15189
sale,15138
almonds,15096
black pepper,14975
red 40,14746
distilled vinegar,14654
molasses,14654
vitamin a palmitate,14624
potato starch,14602
pasteurized milk,14589
suiker,14532
eggs,14219
sodium benzoate,14137
peanuts,14115
leavening,13887
monocalcium phosphate,13823
skim milk,13770
salt.,13719
malic acid,13598
cocoa,13582
cornstarch,13426
pectin,13404
yellow 5,13273
coconut oil,13209
poivre,12998
natural and artificial flavor,12968
wheat gluten,12946
filtered water,12776
weizenmehl,12618
glycerin,12581
nonfat milk,12573
turmeric,12521
onions,12424
cellulose gum,12415
corn,12336
beurre,12303
rapsöl,12296
vinaigre d'alcool,12279
pork,11983
sodium acid pyrophosphate,11881
oignons,11659
vitamin b6,11437
cinnamon,11332
niacinamide,11330
thiamin,11329
monosodium glutamate,11296
oignon,11270
émulsifiant,11118
calcium chloride,11056
maltodextrine,11040
emulgator,10905
cocoa mass,10865
lait écrémé en poudre,10832
zucchero,10830
cocoa powder,10740
tapioca starch,10697
carbonated water,10691
tomatoes,10670
whey powder,10644
acide citrique,10641
gelatin,10620
acidity regulator,10616
glukosesirup,10500
enriched wheat flour,10486
blue 1,10441
locust bean gum,10384
pyridoxine hydrochloride,10350
chocolate liquor,10296
antioxidant,10205
mono and diglycerides,10096
corn syrup solids,10083
flavouring,10079
parsley,10043
kakaobutter,10035
vitamin b1,9981
potatoes,9959
enriched flour,9932
sonnenblumenöl,9912
acidifiant : acide citrique,9897
sorbitol,9743
ferments lactiques,9723
yellow 6,9662
5 %,9627
10%,9618
vitamin b2,9592
soy,9545
farine de _blé_,9513
e330,9494
nonfat dry milk,9447
beef,9391
palme,9390
arôme naturel de vanille,9372
fructose,9365
sunflower lecithin,9353
kakaomasse,9329
acqua,9261
wheat starch,9250
calcium sulfate,9180
chocolate,9165
mono - and diglycerides,8985
folic acid],8883
colour,8859
carrots,8779
potassium chloride,8699
natürliches aroma,8691
for color,8676
